adduser	3.134
adwaita-icon-theme	43-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.8-1
alsa-utils	1.2.8-1
apparmor	3.0.8-3
apt	2.6.1
apt-listchanges	3.24
apt-utils	2.6.1
at-spi2-common	2.46.0-5
at-spi2-core	2.46.0-5
avahi-daemon	0.8-10+deb12u1
base-files	12.4+deb12u13
base-passwd	3.6.1
bash	5.2.15-2+b10
bash-completion	1:2.11-6
bc	1.07.1-3
binutils	2.40-2
binutils-aarch64-linux-gnu	2.40-2
binutils-common:arm64	2.40-2
bison	2:3.8.2+dfsg-1+b1
bluez	5.66-1+deb12u2
bluez-alsa-utils	4.0.0-2
bluez-firmware	1.2-9
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
build-essential	12.9
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
cgroupfs-mount	1.4
cifs-utils	2:7.0-2
containerd	1.6.20~ds1-1+deb12u3
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp-12	12.2.0-14+deb12u1
cpp	4:12.2.0-3
criu	3.17.1-2+deb12u2
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
curl	7.88.1-10+deb12u15
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dc	1.07.1-3
dconf-gsettings-backend:arm64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debconf-i18n	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
distro-info-data	0.58+deb12u6
dkms	3.0.10-8+deb12u1
dmidecode	3.4-1
dmsetup	2:1.02.185-2
dnsmasq-base	2.90-4~deb12u1
dns-root-data	2024071801~deb12u1
docker.io	20.10.24+dfsg1-1+deb12u1+b6
dosfstools	4.2-1
dphys-swapfile	20100506-7.1
dpkg	1.21.22
dpkg-dev	1.21.22
e2fsprogs	1.47.0-2+b2
eject	2.38.1-5+deb12u3
ethtool	1:6.1-1
exfatprogs	1.2.0-1+deb12u1
fake-hwclock	0.12+nmu1
fakeroot	1.31-1.2
fdisk	2.38.1-5+deb12u3
ffmpeg	7:5.1.8-0+deb12u1
file	1:5.44-3
findutils	4.9.0-4
flex	2.6.4-8.2
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
fonts-droid-fallback	1:6.0.1r16-1.1
fonts-noto-mono	20201225-1
fonts-urw-base35	20200910-7
fuse3	3.14.0-4
g++-12	12.2.0-14+deb12u1
g++	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:arm64	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gdb	13.1-3
gdisk	1.0.9-2.1
gettext-base	0.21-12
